trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20171009,127.3319,127.6478,123.751,124.3829,247501.17,3403.25,3410.17,3374.38,3366.97,1917360.62,11248.35,11305.46,11264.27,11214.9,216678336
20171010,124.067,125.1202,123.3297,124.6989,157879.72,3373.34,3384.03,3382.99,3358.8,1794238.38,11260.77,11329.51,11329.51,11229.02,214431760
20171011,124.3829,124.5936,121.2233,121.2233,204034.39,3381.49,3395.78,3388.28,3379.16,1814767,11319.46,11344.59,11312.5,11285.92,229886304
20171012,121.2233,125.6468,120.9074,124.6989,245042.74,3385.53,3390.2,3386.1,3372.53,1618093.75,11309.36,11337.12,11307.32,11240.66,198752464
20171013,124.2776,124.4882,122.6978,123.5404,115918.51,3384.49,3395.75,3390.52,3383.24,1399547.62,11312.27,11400.05,11399.09,11308.04,195039504
20171016,123.751,125.8574,121.7499,122.0659,178535.42,3393.21,3400.51,3378.47,3374.77,1743306.25,11401.87,11422.93,11271.2,11267.27,236289536
20171017,121.7499,122.1712,117.7478,118.2744,198271.59,3373.23,3382.41,3372.04,3365.56,1253817.25,11254.41,11318,11275.34,11214.82,157441904
20171018,118.0637,119.5382,116.2733,116.3786,101206,3373.53,3383.23,3381.79,3371.92,1572287.88,11277.54,11323.26,11282.75,11240.63,178797216
20171019,115.852,116.2733,111.4286,111.4286,167135.65,3374.64,3378.74,3370.17,3359.63,1584765,11275.31,11290.72,11189.55,11179.19,182603712
20171020,111.4286,112.5871,110.7966,112.1658,71046.2,3363.51,3379.77,3378.65,3360.1,1271728.5,11154.93,11238.88,11238.88,11140.34,144399776
20171023,112.3764,112.5871,111.4286,111.8498,72122.99,3382.28,3385.29,3380.7,3374.71,1308462.88,11239.69,11306.31,11306.31,11228.68,154500816
20171024,112.1658,113.219,109.2168,110.0594,105975.93,3376.6,3388.69,3388.25,3374.12,1398975.12,11289.02,11339.13,11339.13,11260.68,156281936
20171025,110.1647,111.2179,108.5849,111.1126,102880.34,3384.86,3398.3,3396.9,3382.03,1231312.25,11330.75,11437.21,11437.21,11324.17,160022016
20171026,110.586,112.2711,109.5328,111.7445,113871.83,3397.52,3414.24,3407.57,3391.45,1837686.25,11430,11509.02,11461.28,11413.93,183886112
20171027,111.7445,115.1148,111.7445,114.0616,181958.69,3404.5,3421.1,3416.81,3402.11,1702571.75,11456.57,11484.91,11444.52,11415.37,176979296
20180329,124.2776,124.2776,111.6392,111.9552,574523.14,3127.26,3174.51,3160.53,3098.25,1703123.88,10676.56,10778.8,10755.92,10564.29,192574656
20180330,108.6902,115.1148,104.6881,112.1658,521207.74,3161.79,3177.72,3168.9,3152.89,1546466,10776.71,10883.05,10868.65,10766.53,209103152
20180402,110.902,123.435,110.902,123.435,467187.09,3169.78,3192.34,3163.18,3159.99,1777277.75,10887.47,10950.22,10852.95,10835.71,238742944
20180403,123.2244,130.0702,121.6446,123.751,886820.48,3130.01,3144.33,3136.63,3119.13,1522166.75,10718.43,10783.93,10754.29,10667.33,208204048
20180404,124.9095,128.0691,121.2233,121.9606,515280.23,3147.05,3163.34,3131.11,3128.87,1469766.88,10778.86,10829.82,10684.56,10678.94,193163728
20180409,120.4861,126.7,120.4861,125.7521,456777.46,3125.44,3146.09,3138.29,3110.3,1396086.25,10655.07,10725.11,10653.38,10571.16,185794688
20180410,125.9627,126.068,121.2233,123.751,279469.73,3144.26,3190.65,3190.32,3139.08,1682013.62,10671.69,10765.62,10765.62,10628.24,199741600
20180411,123.6457,124.2776,119.7488,121.8552,297985.26,3197.37,3220.85,3208.08,3191.59,1758672,10796.5,10856.44,10808.37,10786.84,191004368
20180412,121.6446,122.4872,118.2744,118.5903,211180.62,3203.28,3205.25,3180.16,3177.05,1482313.12,10797.35,10825.66,10726.95,10720.83,171686896
20180413,119.0116,120.4861,117.9584,118.6956,140290.12,3192.04,3197.9,3159.05,3155.51,1275523.12,10789.77,10825.67,10687.02,10670.65,161837312
20180416,118.6956,120.0648,117.8531,119.1169,127842.92,3152.89,3153.11,3110.65,3096.1,1544157,10660.69,10704.39,10621.79,10540.69,188159472
20180417,119.2222,121.0127,117.4318,117.7478,169950.98,3112.97,3118.76,3066.8,3064.03,1472228.5,10636.88,10669.15,10395.16,10390.05,202286400
20180418,118.801,119.1169,107.953,114.1669,274172.35,3091.91,3096.89,3091.4,3041.63,1592905,10477.52,10514.74,10491.15,10249.87,215834944
20180419,112.6924,118.2744,111.3232,116.4839,219794.93,3094.27,3127.44,3117.38,3090.29,1600568,10502.36,10646.7,10598.35,10485.41,203988576
