trade_date,open0,high0,low0,close0,change0,pct_chg0,vol0,open1,high1,close1,low1,vol1,change1,pct_chg1,open2,high2,close2,low2,vol,change2,pct_chg2
20171009,485.704,494.5269,482.5848,492.7445,14.6157,3.0569,505284.65,3403.25,3410.17,3374.38,3366.97,1917360.62,25.44,0.76,11248.35,11305.46,11264.27,11214.9,216678336,177.08,1.6
20171010,494.616,501.3891,487.3082,501.3891,8.6446,1.7544,532517.15,3373.34,3384.03,3382.99,3358.8,1794238.38,8.61,0.26,11260.77,11329.51,11329.51,11229.02,214431760,65.24,0.58
20171011,501.9238,507.8058,489.0906,493.5466,-7.8425,-1.5642,469890.37,3381.49,3395.78,3388.28,3379.16,1814767,5.29,0.16,11319.46,11344.59,11312.5,11285.92,229886304,-17.01,-0.15
20171012,494.616,498.0917,484.6346,487.6646,-5.882,-1.1918,285265.25,3385.53,3390.2,3386.1,3372.53,1618093.75,-2.18,-0.06,11309.36,11337.12,11307.32,11240.66,198752464,-5.18,-0.05
20171013,487.6646,497.2896,484.0107,495.0616,7.397,1.5168,319689.09,3384.49,3395.75,3390.52,3383.24,1399547.62,4.42,0.13,11312.27,11400.05,11399.09,11308.04,195039504,91.77,0.81
20171016,502.6368,502.7259,473.9402,474.3858,-20.6758,-4.1764,471895.3,3393.21,3400.51,3378.47,3374.77,1743306.25,-12.05,-0.35,11401.87,11422.93,11271.2,11267.27,236289536,-127.89,-1.12
20171017,471.4448,471.7122,435.8859,448.4518,-25.934,-5.4669,657566.25,3373.23,3382.41,3372.04,3365.56,1253817.25,-6.43,-0.19,11254.41,11318,11275.34,11214.82,157441904,4.14,0.04
20171018,445.6891,451.3928,431.6082,431.8755,-16.5763,-3.6963,420077.39,3373.53,3383.23,3381.79,3371.92,1572287.88,9.75,0.29,11277.54,11323.26,11282.75,11240.63,178797216,7.41,0.07
20171019,441.857,447.2042,436.688,438.6486,6.7731,1.5683,372771.82,3374.64,3378.74,3370.17,3359.63,1584765,-11.62,-0.34,11275.31,11290.72,11189.55,11179.19,182603712,-93.2,-0.83
20171020,439.3616,448.7192,430.4496,445.8674,7.2188,1.6457,318716.66,3363.51,3379.77,3378.65,3360.1,1271728.5,8.48,0.25,11154.93,11238.88,11238.88,11140.34,144399776,49.33,0.44
20171023,448.2736,453.9773,444.7088,446.6694,0.802,0.1799,244740.38,3382.28,3385.29,3380.7,3374.71,1308462.88,2.05,0.06,11239.69,11306.31,11306.31,11228.68,154500816,67.43,0.6
20171024,446.6694,449.4322,438.4704,445.5109,-1.1585,-0.2594,219640.59,3376.6,3388.69,3388.25,3374.12,1398975.12,7.55,0.22,11289.02,11339.13,11339.13,11260.68,156281936,32.82,0.29
20171025,446.4912,456.8291,444.4414,454.3338,8.8229,1.9804,357305.11,3384.86,3398.3,3396.9,3382.03,1231312.25,8.65,0.26,11330.75,11437.21,11437.21,11324.17,160022016,98.08,0.86
20171026,454.512,454.512,444.7088,450.4125,-3.9213,-0.8631,316082.36,3397.52,3414.24,3407.57,3391.45,1837686.25,10.67,0.31,11430,11509.02,11461.28,11413.93,183886112,24.07,0.21
20171027,449.343,452.5514,441.7678,442.9264,-7.4861,-1.6621,225883.33,3404.5,3421.1,3416.81,3402.11,1702571.75,9.24,0.27,11456.57,11484.91,11444.52,11415.37,176979296,-16.76,-0.15
20171030,445.6,472.336,435.6186,466.0976,23.1712,5.2314,647787.59,3413.87,3419.73,3390.34,3357.28,2083492.88,-26.47,-0.78,11446.79,11472.28,11312.61,11192.18,223352112,-131.91,-1.15
20171031,465.4738,481.248,463.5131,477.6832,11.5856,2.4857,592626.49,3381,3397.1,3393.34,3376.12,1534982,3,0.09,11293.34,11368.19,11367.62,11274.17,155987088,55.01,0.49
20171101,477.6832,486.0605,472.9598,473.4054,-4.2778,-0.8955,442104.33,3393.97,3410.35,3395.91,3388.6,1805661.25,2.57,0.08,11370.52,11424.48,11350.32,11341.07,162985104,-17.3,-0.15
20171102,474.564,515.1136,474.564,506.2016,32.7962,6.9277,904497.34,3391.65,3391.65,3383.31,3372.21,1668642.62,-12.6,-0.37,11336.48,11337.01,11292.42,11251.81,181190240,-57.9,-0.51
20171103,503.528,525.5406,499.6067,507.984,1.7824,0.3521,795218.77,3377.74,3380.57,3371.74,3347.36,1727147.88,-11.57,-0.34,11287.55,11334.68,11215.19,11165.06,179760272,-77.23,-0.68
20171106,508.9643,516.3613,501.7456,511.2814,3.2974,0.6491,524557.11,3369.69,3389.38,3388.17,3356.53,1546364.62,16.43,0.49,11218.04,11373.74,11373.74,11181.29,178683584,158.55,1.41
20171107,522.3323,539.176,522.3323,535.6112,24.3298,4.7586,786381.31,3389.47,3415.15,3413.57,3387.95,1905717.5,25.4,0.75,11374.09,11467.97,11467.97,11370.99,193616576,94.23,0.83
20171108,536.0568,537.661,523.3126,526.521,-9.0902,-1.6972,591383.31,3409.15,3434.49,3415.46,3404.88,1854364.75,1.89,0.06,11460.15,11563.82,11447.4,11441.8,210038864,-20.57,-0.18
20171109,528.5707,533.6506,512.44,528.6598,2.1388,0.4062,556901.9,3410.67,3428.77,3427.79,3408.62,1586504.25,12.33,0.36,11443.54,11553.24,11553.24,11414.2,186042368,105.84,0.93
20171110,534.2744,542.5626,519.124,519.3914,-9.2684,-1.7532,617147.1,3423.18,3438.79,3432.67,3414.33,1892765,4.88,0.14,11540.55,11659.65,11645.05,11531.59,204295232,91.81,0.8
20171113,516.896,571.3483,513.955,571.3483,51.9569,10.0034,1246284.22,3435.18,3449.16,3447.84,3435.08,2053890.5,15.17,0.44,11657.63,11714.98,11695,11631.19,212922512,49.95,0.43
20171114,583.736,613.0565,578.1214,591.133,19.7847,3.4628,1160953.34,3446.55,3450.49,3429.55,3419.69,1964726.75,-18.29,-0.53,11689.94,11700.73,11582.92,11538.34,218041040,-112.08,-0.96
20171115,588.192,600.2232,553.6134,561.456,-29.677,-5.0204,1022342.12,3416.21,3423.75,3402.52,3396.38,1687920.75,-27.03,-0.79,11548,11583.97,11462.11,11390.3,179370224,-120.81,-1.04
20171116,580.9733,617.4234,573.0416,600.4906,39.0346,6.9524,1076629.95,3393.19,3409.65,3399.25,3390.59,1566843.38,-3.27,-0.1,11442.85,11549.08,11537.96,11415.75,180035280,75.85,0.66
